id,created_at,serviceid,driverid
7,2026-05-19 00:44:00.437129+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,40df56c3-a65c-485b-8664-880b2349b1c0
8,2026-05-19 00:44:00.437129+00,fba772db-10be-4403-a88e-e907d39b31be,40df56c3-a65c-485b-8664-880b2349b1c0
9,2026-05-19 00:44:00.437129+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,40df56c3-a65c-485b-8664-880b2349b1c0
10,2026-05-19 00:44:00.437129+00,75497336-75df-4fb2-bf2e-be74003ecba2,40df56c3-a65c-485b-8664-880b2349b1c0
11,2026-05-19 00:44:00.437129+00,9a1d588c-c64d-48dc-97d1-c805082a273e,40df56c3-a65c-485b-8664-880b2349b1c0
12,2026-05-19 12:40:16.447475+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,4807ee03-815e-4177-85c9-f73df3f38bdf
13,2026-05-19 12:40:16.447475+00,fba772db-10be-4403-a88e-e907d39b31be,4807ee03-815e-4177-85c9-f73df3f38bdf
14,2026-05-19 12:40:16.447475+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,4807ee03-815e-4177-85c9-f73df3f38bdf
15,2026-05-19 12:40:16.447475+00,75497336-75df-4fb2-bf2e-be74003ecba2,4807ee03-815e-4177-85c9-f73df3f38bdf
16,2026-05-19 12:40:16.447475+00,9a1d588c-c64d-48dc-97d1-c805082a273e,4807ee03-815e-4177-85c9-f73df3f38bdf
17,2026-05-19 13:04:35.506389+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,381eda5c-57c5-4327-8b64-78420f7669f2
18,2026-05-19 13:04:59.353396+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,381eda5c-57c5-4327-8b64-78420f7669f2
19,2026-05-19 13:05:15.637274+00,75497336-75df-4fb2-bf2e-be74003ecba2,381eda5c-57c5-4327-8b64-78420f7669f2
20,2026-05-19 13:05:32.602553+00,9a1d588c-c64d-48dc-97d1-c805082a273e,381eda5c-57c5-4327-8b64-78420f7669f2
21,2026-05-19 13:05:46.038476+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,381eda5c-57c5-4327-8b64-78420f7669f2
22,2026-05-19 13:06:06.064199+00,fba772db-10be-4403-a88e-e907d39b31be,381eda5c-57c5-4327-8b64-78420f7669f2
23,2026-05-19 13:13:01.978373+00,fba772db-10be-4403-a88e-e907d39b31be,381eda5c-57c5-4327-8b64-78420f7769f2
24,2026-05-19 13:13:27.251692+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,381eda5c-57c5-4327-8b64-78420f7669f2
25,2026-05-19 13:13:44.662058+00,9a1d588c-c64d-48dc-97d1-c805082a273e,381eda5c-57c5-4327-8b64-78420f7669f2
26,2026-05-19 13:13:55.870069+00,75497336-75df-4fb2-bf2e-be74003ecba2,381eda5c-57c5-4327-8b64-78420f7669f2
27,2026-05-19 13:14:19.084534+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,381eda5c-57c5-4327-8b64-78420f7669f2
28,2026-05-19 13:14:28.988419+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,381eda5c-57c5-4327-8b64-78420f7669f2
29,2026-05-19 13:19:18.559828+00,fba772db-10be-4403-a88e-e907d39b31be,481eda5c-57c5-4327-8b64-78420f7669f2
30,2026-05-19 13:19:50.260925+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,481eda5c-57c5-4327-8b64-78420f7669f2
31,2026-05-19 13:20:33.319211+00,75497336-75df-4fb2-bf2e-be74003ecba2,481eda5c-57c5-4327-8b64-78420f7669f2
32,2026-05-19 13:21:11.64365+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,481eda5c-57c5-4327-8b64-78420f7669f2
33,2026-05-19 13:22:09.32511+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,481eda5c-57c5-4327-8b64-78420f7669f2
34,2026-05-19 13:22:19.826164+00,9a1d588c-c64d-48dc-97d1-c805082a273e,481eda5c-57c5-4327-8b64-78420f7669f2
35,2026-05-19 13:24:26.716383+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,12cb71d6-4bb5-483d-9037-e27490078afa
36,2026-05-19 13:24:26.716383+00,fba772db-10be-4403-a88e-e907d39b31be,12cb71d6-4bb5-483d-9037-e27490078afa
37,2026-05-19 13:24:26.716383+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,12cb71d6-4bb5-483d-9037-e27490078afa
38,2026-05-19 13:24:26.716383+00,75497336-75df-4fb2-bf2e-be74003ecba2,12cb71d6-4bb5-483d-9037-e27490078afa
39,2026-05-19 13:24:26.716383+00,9a1d588c-c64d-48dc-97d1-c805082a273e,12cb71d6-4bb5-483d-9037-e27490078afa
40,2026-05-19 13:24:26.716383+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,12cb71d6-4bb5-483d-9037-e27490078afa
41,2026-05-19 13:25:49.886414+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,391eda5c-57c5-4327-8b64-78420f7669f3
42,2026-05-19 13:26:06.35881+00,75497336-75df-4fb2-bf2e-be74003ecba2,391eda5c-57c5-4327-8b64-78420f7669f3
43,2026-05-19 13:26:16.474391+00,9a1d588c-c64d-48dc-97d1-c805082a273e,391eda5c-57c5-4327-8b64-78420f7669f3
44,2026-05-19 13:26:27.550491+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,391eda5c-57c5-4327-8b64-78420f7669f3
45,2026-05-19 13:26:43.77604+00,fba772db-10be-4403-a88e-e907d39b31be,391eda5c-57c5-4327-8b64-78420f7669f3
48,2026-05-19 13:29:32.591237+00,fba772db-10be-4403-a88e-e907d39b31be,391eda5c-57c5-4327-8b64-78420f7669f6
49,2026-05-19 13:29:46.320868+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,391eda5c-57c5-4327-8b64-78420f7669f6
50,2026-05-19 13:29:56.09168+00,9a1d588c-c64d-48dc-97d1-c805082a273e,391eda5c-57c5-4327-8b64-78420f7669f6
51,2026-05-19 13:30:07.786981+00,75497336-75df-4fb2-bf2e-be74003ecba2,391eda5c-57c5-4327-8b64-78420f7669f6
52,2026-05-19 13:30:17.97965+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,391eda5c-57c5-4327-8b64-78420f7669f6
53,2026-05-19 13:36:25.247244+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,391eda5c-57c5-4327-8b64-78420f7609f6
54,2026-05-19 13:36:25.247244+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,391eda5c-57c5-4327-8b64-78420f7609f6
55,2026-05-19 13:36:25.247244+00,75497336-75df-4fb2-bf2e-be74003ecba2,391eda5c-57c5-4327-8b64-78420f7609f6
56,2026-05-19 13:36:25.247244+00,9a1d588c-c64d-48dc-97d1-c805082a273e,391eda5c-57c5-4327-8b64-78420f7609f6
57,2026-05-19 13:36:25.247244+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,391eda5c-57c5-4327-8b64-78420f7609f6
58,2026-05-19 13:36:25.247244+00,fba772db-10be-4403-a88e-e907d39b31be,391eda5c-57c5-4327-8b64-78420f7609f6
59,2026-05-19 13:41:39.966304+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,22224edd-d619-4b75-87b8-ad5808b828d8
60,2026-05-19 13:41:39.966304+00,9a1d588c-c64d-48dc-97d1-c805082a273e,22224edd-d619-4b75-87b8-ad5808b828d8
61,2026-05-19 13:41:39.966304+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,22224edd-d619-4b75-87b8-ad5808b828d8
62,2026-05-19 13:41:39.966304+00,fba772db-10be-4403-a88e-e907d39b31be,22224edd-d619-4b75-87b8-ad5808b828d8
63,2026-05-19 13:49:21.294176+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,382eda5c-57c5-4327-8b64-78420f7669f2
64,2026-05-19 13:49:21.294176+00,9a1d588c-c64d-48dc-97d1-c805082a273e,382eda5c-57c5-4327-8b64-78420f7669f2
65,2026-05-19 13:49:21.294176+00,75497336-75df-4fb2-bf2e-be74003ecba2,382eda5c-57c5-4327-8b64-78420f7669f2
